member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
317,5,2021-08-18,2021-08-31,14,treatment,1,0.01934543,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,317|5|2021-08-18,-0.2884345429602418,-0.5109357280625717
465,5,2021-08-18,2021-08-31,14,control,0,0.960154,1,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.14285714285714285,465|5|2021-08-18,0.6523740270397582,-0.5109357280625717
491,5,2021-08-18,2021-08-31,14,control,0,0.0029994836,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,491|5|2021-08-18,-0.30478048936024177,-0.5109357280625717
889,5,2021-08-18,2021-08-31,14,control,0,0.83365893,1,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.07142857142857142,889|5|2021-08-18,0.5258789570397582,-0.5109357280625717
1197,5,2021-08-18,2021-08-31,14,treatment,1,0.040377002,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,1197|5|2021-08-18,-0.2674029709602418,-0.5109357280625717
1457,5,2021-08-18,2021-08-31,14,control,0,0.6000563,1,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.14285714285714285,1457|5|2021-08-18,0.2922763270397582,-0.5109357280625717
1520,5,2021-08-18,2021-08-31,14,control,0,0.0026593062,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,1520|5|2021-08-18,-0.3051206667602418,-0.5109357280625717
1531,5,2021-08-18,2021-08-31,14,control,0,0.21862523,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,1531|5|2021-08-18,-0.08915474296024178,-0.5109357280625717
1596,5,2021-08-18,2021-08-31,14,control,0,0.22948976,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.07142857142857142,1596|5|2021-08-18,-0.0782902129602418,-0.5109357280625717
2247,5,2021-08-18,2021-08-31,14,control,0,0.9638449,1,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.14285714285714285,2247|5|2021-08-18,0.6560649270397583,-0.5109357280625717
2725,5,2021-08-18,2021-08-31,14,control,0,0.35885876,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.07142857142857142,2725|5|2021-08-18,0.05107878703975821,-0.5109357280625717
2832,5,2021-08-18,2021-08-31,14,control,0,0.004244597,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,2832|5|2021-08-18,-0.30353537596024177,-0.5109357280625717
3284,5,2021-08-18,2021-08-31,14,control,0,0.10787873,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,3284|5|2021-08-18,-0.19990124296024178,-0.5109357280625717
3433,5,2021-08-18,2021-08-31,14,control,0,0.08563248,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.14285714285714285,3433|5|2021-08-18,-0.22214749296024178,-0.5109357280625717
3690,5,2021-08-18,2021-08-31,14,control,0,0.013299667,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,3690|5|2021-08-18,-0.2944803059602418,-0.5109357280625717
3929,5,2021-08-18,2021-08-31,14,control,0,0.53128225,1,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.14285714285714285,3929|5|2021-08-18,0.22350227703975817,-0.5109357280625717
4499,5,2021-08-18,2021-08-31,14,treatment,1,0.12884215,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.14285714285714285,4499|5|2021-08-18,-0.1789378229602418,-0.5109357280625717
4626,5,2021-08-18,2021-08-31,14,control,0,0.5984713,1,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,4626|5|2021-08-18,0.29069132703975825,-0.5109357280625717
5261,5,2021-08-18,2021-08-31,14,control,0,0.54869425,1,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.14285714285714285,5261|5|2021-08-18,0.24091427703975826,-0.5109357280625717
5967,5,2021-08-18,2021-08-31,14,treatment,1,0.02615443,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,5967|5|2021-08-18,-0.2816255429602418,-0.5109357280625717
6123,5,2021-08-18,2021-08-31,14,control,0,0.024384513,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.07142857142857142,6123|5|2021-08-18,-0.2833954599602418,-0.5109357280625717
6823,5,2021-08-18,2021-08-31,14,treatment,1,0.030407732,0,dept_5_closure_2021-08-18,2021-06-23,2021-06,-4,0,0.0,6823|5|2021-08-18,-0.27737224096024177,-0.5109357280625717
