member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
50,59,2021-08-03,2021-08-19,17,control,0,0.7735252,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,50|59|2021-08-03,0.46574522703975824,-0.02364364306028814
71,59,2021-08-03,2021-08-19,17,control,0,0.013287291,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,71|59|2021-08-03,-0.2944926819602418,-0.02364364306028814
525,59,2021-08-03,2021-08-19,17,treatment,1,0.050610684,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,525|59|2021-08-03,-0.25716928896024177,-0.02364364306028814
770,59,2021-08-03,2021-08-19,17,control,0,0.009185753,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,770|59|2021-08-03,-0.29859421996024177,-0.02364364306028814
809,59,2021-08-03,2021-08-19,17,control,0,0.41485426,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.058823529411764705,809|59|2021-08-03,0.10707428703975819,-0.02364364306028814
917,59,2021-08-03,2021-08-19,17,control,0,0.31747258,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,917|59|2021-08-03,0.009692607039758216,-0.02364364306028814
1216,59,2021-08-03,2021-08-19,17,control,0,0.1695165,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,1216|59|2021-08-03,-0.1382634729602418,-0.02364364306028814
1246,59,2021-08-03,2021-08-19,17,control,0,0.7547476,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.058823529411764705,1246|59|2021-08-03,0.4469676270397582,-0.02364364306028814
1280,59,2021-08-03,2021-08-19,17,control,0,0.07124339,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,1280|59|2021-08-03,-0.23653658296024177,-0.02364364306028814
1566,59,2021-08-03,2021-08-19,17,control,0,0.5589835,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.058823529411764705,1566|59|2021-08-03,0.2512035270397582,-0.02364364306028814
1723,59,2021-08-03,2021-08-19,17,control,0,0.076005325,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.058823529411764705,1723|59|2021-08-03,-0.23177464796024178,-0.02364364306028814
1873,59,2021-08-03,2021-08-19,17,control,0,0.91916925,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.17647058823529413,1873|59|2021-08-03,0.6113892770397582,-0.02364364306028814
1950,59,2021-08-03,2021-08-19,17,control,0,0.34659898,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.058823529411764705,1950|59|2021-08-03,0.03881900703975821,-0.02364364306028814
1980,59,2021-08-03,2021-08-19,17,control,0,0.55473095,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,1980|59|2021-08-03,0.24695097703975816,-0.02364364306028814
1992,59,2021-08-03,2021-08-19,17,control,0,0.62640864,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,1992|59|2021-08-03,0.3186286670397582,-0.02364364306028814
2034,59,2021-08-03,2021-08-19,17,control,0,0.83353245,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.11764705882352941,2034|59|2021-08-03,0.5257524770397581,-0.02364364306028814
2138,59,2021-08-03,2021-08-19,17,treatment,1,0.017557098,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,2138|59|2021-08-03,-0.2902228749602418,-0.02364364306028814
2307,59,2021-08-03,2021-08-19,17,control,0,0.8641061,1,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.17647058823529413,2307|59|2021-08-03,0.5563261270397581,-0.02364364306028814
2390,59,2021-08-03,2021-08-19,17,control,0,0.0076784645,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,2390|59|2021-08-03,-0.3001015084602418,-0.02364364306028814
2519,59,2021-08-03,2021-08-19,17,control,0,0.26914093,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.0,2519|59|2021-08-03,-0.03863904296024179,-0.02364364306028814
2799,59,2021-08-03,2021-08-19,17,control,0,0.09547402,0,dept_59_closure_2021-08-03,2021-05-27,2021-05,-4,0,0.058823529411764705,2799|59|2021-08-03,-0.2123059529602418,-0.02364364306028814
